Tiếng Việt,Code-mixed,label
nhân viên nhiệt tình chỉ dẫn nhưng khi được nhờ hỏi dịch vụ đặt thuê xe thì báo giá rất cao so với thực tế,enthusiastic staff chỉ dẫn nhưng khi được nhờ hỏi dịch vụ đặt thuê xe thì báo giá rất cao so với thực tế,neutral
tôi đánh giá rất cao về thái độ phục vụ của khách sạn hạnh đạt cả bà chủ khách sạn lẫn nhân viên đều rất nhiệt tình và niềm nở,tôi đánh giá rất cao về service attitudes of the hotel hạnh đạt cả bà hotel owner lẫn nhân viên đều very enthusiastic and niềm nở,positive
phòng khách sạn tuy hơi nhỏ nhưng hiện đại sạch sẽ giá cả phải chăng,hotel room tuy hơi nhỏ nhưng hiện đại sạch sẽ giá cả phải chăng,neutral
những ngày nghỉ cũa tôi ở huế đã trải qua rất tuyệt vời,những ngày nghỉ cũa tôi ở huế đã trải qua rất wonderful,neutral
cám ơn hạnh đạt hotel và agoda,cám ơn hạnh đạt hotel và agoda,neutral
một kỳ nghỉ không tồi ở huế,a holiday không tồi ở huế,neutral
khách sạn rất thuận tiện còn tiếp tân rất friendly,hotel thì rất convenient còn tiếp tân rất friendly,positive
tiếp tân giúp ích rất nhiều trong việc hướng dẫn du khách đến huế thậm chí giúp mua những đặc sản huế khá ngon và hợp lý,tiếp tân giúp ích a lot trong việc hướng dẫn du khách đến huế thậm chí giúp mua những Hue specialties khá ngon và hợp lý,positive
đây là khách sạn rất thuận tiện cho những ai muốn đi du lịch thắng cảnh ở huế,đây là hotel is very convenient cho những ai muốn đi du lịch thắng cảnh ở huế,positive
tôi nghĩ rằng mình không có lý do gì để chọn khách sạn khác nếu một lần nữa đi du lịch ở huế,tôi nghĩ rằng mình không có lý do gì để choosing hotels khác nếu một lần nữa đi du lịch ở huế,positive
khách sạn cách đại nội khoảng 4 5 km và hoàn toàn có thể đi bộ đến đó trong vòng 45 phút đến 1 tiếng,khách sạn cách đại nội khoảng 4 5 km và hoàn toàn can walk đến đó trong vòng 45 phút đến 1 tiếng,neutral
tại khách sạn có cho thuê xe máy với chất lượng xe còn rất tốt,at the hotel có cho thuê xe máy với quality xe còn rất tốt,positive
khách sạn sạch sẽ nhân viên phục vụ rất nhiệt tình niềm nở,clean hotel sẽ nhân viên served very well. nhiệt tình niềm nở,positive
trang thiết bị vật chất rất tốt so với giá tiền,material equipment rất tốt so với giá tiền,positive
nếu bạn đi du lịch tại huế và muốn ở một nơi gần trung tâm giá cả phù hợp nhưng vẫn đầy đủ tiện nghi và được phục vụ tốt thì nên lựa chọn khách sạn hạnh đạt này,nếu bạn đi du lịch tại huế và muốn ở một nơi near the center giá cả phù hợp nhưng vẫn đầy đủ tiện nghi và được well served thì nên lựa choosing hotels hạnh đạt này,neutral
tôi đã có một kì nghỉ tuyệt vời tại vedana,tôi đã có một kì nghỉ wonderful at vedana,positive
tôi sẽ không bao giờ quên cảnh mặt trời mọc và hoàng hôn trên phá tam giang,tôi sẽ không never forget the scene mặt trời mọc và hoàng hôn trên phá tam giang,neutral
khách sạn đáng yêu,lovely hotel,positive
phong cảnh đẹp yên tĩnh không khí trong lành rất thích hợp để nghỉ dưỡng,phong cảnh đẹp yên tĩnh fresh air rất thích hợp để nghỉ dưỡng,positive
tôi đến lúc 10h sáng khi check in phòng nhân viên báo là thời gian check in là 14h chiều,tôi đến lúc 10h sáng khi check in phòng nhân viên báo là thời gian check in là 14h chiều,neutral
wait hơi lâu,nên chờ hơi lâu,negative
gần resort có quán gái đẳng ăn hải sản rất ngon,gần resort có quán gái đẳng eat seafood rất yummy,positive
đường vào resort hơi nhếch nhác và bẩn,đường vào resort hơi sloppy and dirty,negative
khi vào khuôn viên resort thi mọi thứ điều ok xanh sạch đẹp,"khi vào khuôn viên resort thi mọi thứ điều ok green, clear, beautiful",positive
wc nắp xi er phía dưới rẩt bẩn vì không được thường xuyên lau chùi,wc nắp xi er phía dưới rẩt impure vì không được thường xuyên cleaner,negative
khách sạn với địa điểm tốt không khí trong lành yên tĩnh phục vụ tận tình,hotel with địa điểm tốt fresh air yên tĩnh phục vụ tận tình,positive
chúng tôi có chuyến đi đến huế vào đầu tháng 11 sao khi tìm các khách sạn tại huế tôi đã chọn vedana về khung cảnh đẹp hữu tình,chúng tôi có trip go to huế vào đầu tháng 11 sao khi tìm các khách sạn tại huế tôi đã chọn vedana về khung cảnh đẹp hữu tình,positive
đến khi đặt chân đến nơi quả thật không làm chúng tôi thất vọng,until đặt chân đến nơi quả thật không làm chúng tôi thất vọng,positive
chúng tôi may mắn được lên phòng aqua view quá đẹp phòng rộng 180m2 có view nhìn ra đầm cậu hai mọi thứ không có gì để chê,chúng tôi may mắn được lên phòng aqua view quá đẹp phòng rộng 180m2 có view nhìn ra đầm cậu hai mọi thứ không có gì để chê,positive
do vedana khá xa với trung tâm huế xung quanh ko có hàng quán nên phải ăn tại đây,do vedana khá xa với trung tâm huế xung quanh ko có hàng quán nên phải eat here,negative
tuy hơi đắt nhưng các món ăn nấu rất ngon miệng chúng tôi cảm thấy rất vừa lòng,tuy hơi đắt nhưng các món ăn nấu rất ngon miệng we felt rất vừa lòng,neutral
quả thực kỳ nghỉ 3 ngày 2 đêm tại đây rất tuyệt vời,quả thực kỳ nghỉ 3 ngày 2 đêm tại đây rất wonderful,positive
chúng tôi ở vedana 2 ngày khung cảnh đẹp thiết kế villa rất nhẹ nhàng lãng mạn và dễ thương view nhìn xuống lagoon,chúng tôi ở vedana 2 ngày khung cảnh đẹp thiết kế villa rất nhẹ nhàng romantic and cute view nhìn xuống lagoon,positive
các căn villa nằm trên triền đồi nên đều có view đẹp nếu đi cả nhóm đông thì có thể chọn loại villa có bể bơi,các căn villa nằm trên triền đồi nên đều có view đẹp nếu đi cả nhóm đông thì can choose type villa có bể bơi,positive
tuy nhiên là không bơi dưới lagoon được,tuy nhiên là no swim dưới lagoon được,negative
đồ ăn ngon đặc biệt thích các món bánh mỳ và bánh ngọt,good taste đặc biệt thích các món bánh mỳ và bánh ngọt,positive
mọi người ở đây rất nhiệt tình từ quản lý đến nhân viên rất thân thiện,mọi người ở đây very enthusiastic từ quản lý đến very friendly staff,positive
gần đây có quán cơm gái đẳng rất nổi tiếng ở khu lăng cô quán bình dân bán đồ tôm cá bắt dưới phá tam giang lên ăn ngon khủng khiếp mà giá rẻ nên ăn tôm cá đối kho đúng vị quảng nam cá dĩa nấu canh với cơm,gần đây có quán cơm gái đẳng rất popular ở khu lăng cô quán bình dân bán đồ tôm cá bắt dưới phá tam giang lên ăn ngon khủng khiếp mà rất cheap nên ăn tôm cá đối kho đúng vị quảng nam cá dĩa nấu canh với cơm,positive
nhân viên thân thiện khách sạn có sảnh đẹp giúp tôi có thêm nhiều trải nghiệm tốt khi đến thành phố hồ chí minh,nhân viên friendly hotel có sảnh đẹp giúp tôi có thêm nhiều experience tốt khi đến thành phố hồ chí minh,positive
mình rất thi 1h khách sạn này nó sạch và đẹp vì mới được xây năm 2012,"mình rất thi 1h this hotel, sạch và đẹp vì mới được built năm 2012",positive
phòng ốc thì hơi nhỏ nhưng thiết bị nội thất đều mới,phòng ốc thì hơi small nhưng thiết bị nội thất đều new,neutral
buffet cũng đa dạng,buffet cũng đa dạng,positive
nhân viên phục vụ tốt phụ mang hành lý mình ở đó 2 đêm và chắc chắn lần sau nếu có tới sài gòn cũng sẽ chọn eden hotel là nơi nghỉ ngơi,good service personnel phụ mang hành lý mình ở đó 2 night and certainly lần sau nếu có tới sài gòn cũng sẽ chọn eden hotel là nơi nghỉ ngơi,positive
phòng đẹp và sạch sẽ vị trí khách sạn tốt yên tĩnh cái bể bơi thì thích hợp phơi nắng thôi chứ không thích hợp cho việc tắm vì nước không được sạch lắm,phòng beautiful and clean vị trí good hotel yên tĩnh cái bể bơi thì thích hợp phơi nắng thôi chứ không thích hợp cho việc tắm vì nước không được sạch lắm,neutral
khách sạn đẹp vì được xây ngay trên hồ tây,beautiful hotel vì được xây ngay trên hồ tây,positive
bữa sáng đa dạng đúng đẳng cấp 5 sao,bữa sáng diversity đúng đẳng cấp 5 sao,positive
phòng rộng đầy đủ tiện nghi,large room đầy đủ tiện nghi,positive
tuy nhiên không có dao cạo râu là một thiếu sót,tuy nhiên không có shave là một thiếu sót,negative
dù sao tôi cũng sẽ quay lại khách sạn này,dù sao tôi cũng sẽ quay lại this hotel,neutral
ẩm thực quanh hồ tây rất ngon ngắm hồ tây hoàng hôn và bình minh đều rất đẹp có thể taxt ra chùa trấn quốc và đền quán thánh rất linh thiêng và yên tinh đi dạo dọc đường thanh niên con đường tình yêu,ẩm thực quanh hồ tây rất ngon ngắm hồ tây sunset and dawn đều rất đẹp có thể taxt ra chùa trấn quốc và đền quán thánh rất linh thiêng và yên tinh đi dạo dọc đường thanh niên con đường tình yêu,positive
phòng hơi nhỏ và cũ,phòng hơi small and old,negative
ban công bị vướng tầm nhìn đặc biệt khi nhìn lên trần thì hơi bẩn vì bám đầy mạng nhện và các côn trùng chết như muỗi thiêu thân phục vụ phòng trong khu vực khách sạn đi lại nặng chân nặng tay gây ồn nói chuyện to tiếng rất mất trật tự,ban công bị vướng tầm nhìn special khi nhìn lên trần thì hơi bẩn vì bám đầy mạng nhện và các côn trùng chết như muỗi thiêu thân phục vụ room trong khu vực hotel đi lại nặng chân nặng tay gây ồn nói chuyện to tiếng rất mất trật tự,negative
đây là một địa điểm lí tưởng cho những ai thích yên tĩnh mình sẽ đi lại vào năm sau,đây là một địa điểm lí tưởng cho những ai thích peaceful mình sẽ đi lại vào năm sau,positive
vô cùng ý nghĩa,vô cùng significant,neutral
tuyệt vời khi có một không gian yên tĩnh sang trọng lịch sự và ấm cúng,tuyệt vời khi có một space tranquil sang trọng lịch sự và homey,positive
phục vụ niềm nở chu đáo trang trí khách sạn trong dịp noel chưa thực sự hấp dẫn,"phục vụ niềm nở chu đáo, decor khách sạn trong dịp noel chưa thực sự attractive",neutral
đây là kỳ nghỉ tuyệt vời của hai chúng tôi,đây là kỳ nghỉ fantastic của hai chúng tôi,positive
phòng ở được trang trí rất đẹp và ấm cúng không gian yên tĩnh biệt lập ở giữa hồ đã mang lại cho chúng tôi những giây phút lãng mạn như lạc vào một thế giới khác,phòng ở được trang trí rất nice and cozy không gian yên tĩnh biệt lập ở giữa hồ đã mang lại cho chúng tôi những giây phút romantic như lạc vào một thế giới khác,positive
thái độ phục vụ của nhân viên cũng rất tốt họ thân thiện và niềm nở trước bất kỳ yêu cầu nào của chúng tôi,service attitudes của nhân viên cũng rất tốt họ friendly and cheerfulness trước bất kỳ yêu cầu nào của chúng tôi,positive
cám ơn khách sạn đã mang lại cho chúng tôi những giây phút ấm áp giữa mùa đông hà nội,thanks khách sạn đã mang lại cho chúng tôi những time ấm áp giữa mùa đông hà nội,positive
nhân viên rất nhiệt tình phục vụ chu đáo dọn phòng sạch sẽ và nhanh nhẹn,"staff rất nhiệt tình, serve chu đáo dọn phòng sạch sẽ và nhanh nhẹn",positive
tuy nhiên các bữa sáng không được thay đổi thực đơn nên làm cho khách dễ bị ngán và nhàm chán,tuy nhiên các breakfast không được menu change nên làm guests dễ bị ngán và nhàm chán,negative
đồ ăn nấu tạm được,food nấu tạm được,neutral
tôi khá hài lòng với chuyến du lịch cùng cả nhà khi nghỉ ở khách sạn này,tôi khá satisfied with the trip du lịch cùng cả nhà khi nghỉ ở this hotel,positive
tuy nhiên tôi thấy khách sạn rất thích hợp với các bạn trẻ đi du lịch vì giá cả hợp lý mà địa điểm lại gần trung tâm nên dễ dàng đi lại mua sắm,tuy nhiên tôi thấy the hotel is very thích hợp với you guys trẻ đi du lịch vì giá cả hợp lý mà địa điểm lại near the center nên dễ dàng đi lại mua sắm,positive
khách sạn thiết kế đẹp đầy đủ tiện nghi,architecture của khách sạn đẹp đầy đủ tiện nghi,positive
thuận tiện khi di chuyển đến các nơi trong phố cổ,convenient when di chuyển đến các nơi trong phố cổ,positive
có 1 nhược điểm là gần tuyến xe lửa đi qua nên sẽ ảnh hưởng ít nhiều vì tiếng còi của xe lửa mõi khi chạy qua,có 1 defect là gần tuyến xe lửa đi qua nên sẽ affect ít nhiều vì tiếng còi của xe lửa mõi khi chạy qua,negative
mọi thứ nhìn chung đều tốt 2 một điều ngạc nhiên thú vị có máy tính xách tay nhưng không có sạc 3,mọi thứ nhìn chung đều tốt 2 một điều ngạc nhiên thú vị có máy tính xách tay nhưng không có sạc 3,neutral
không có mắc áo nhưng lại có bàn là và cầu là 4 đồ ăn sáng không phong phú chỉ hợp với khách âu 5,không có mắc áo nhưng lại có bàn là và cầu là 4 đồ ăn sáng không phong phú chỉ hợp với khách âu 5,negative
giá phòng như tại thời điểm tôi ở sẽ phù hợp với khách sạn hơn 6,room price như tại thời điểm tôi ở sẽ suitable với hotel hơn 6,neutral
đa phần là người nước ngoài khách nội điạ đần như không thấy,đa phần là foreign tourist khách nội điạ đần như không thấy,neutral
khách sạn rising dragon place hotel là một trong những khách sạn tốt nhất mà tôi từng ở với giá tiền tương đương,khách sạn rising dragon place hotel là một trong những good hotel nhất mà tôi từng ở với giá tiền tương đương,positive
rất tuyệt được hưởng cái lạnh se se của mùa đông hà nội khách sạn nằm ngay chợ và ngay sau trung tâm thương mại hàng da thuận tiện cho việc mua sắm dạo bộ,rất tuyệt được hưởng cái lạnh se se của mùa đông hà nội hotel located ngay chợ và ngay sau commercial centers hàng da convenient for việc mua sắm dạo bộ,positive
nhân viên của khách sạn nhiệt tình và chuyên nghiệp hướng dẫn tận tình và rất quan tâm đến khác,nhân viên of the hotel enthusiasm and chuyên nghiệp hướng dẫn tận tình và rất quan tâm until the endác,positive
đó là ưu điểm rất lớn khi bạn du lịch đến hà nội,đó là ưu điểm rất lớn khi bạn du lịch đến hà nội,positive
phòng sạch sẽ khang trang rất dễ chịu,phòng sạch sẽ khang trang rất dễ chịu,positive
phòng thiết kế rất vừa cho hai người hoặc gia đình có con,the design room rất vừa cho hai người hoặc gia đình có con,positive
tôi rất hài lòng khi ở tại đây những lần sau tôi vẫn sẽ đăng kí tại ksan này,tôi very pleased to see ở tại đây the following times tôi vẫn sẽ đăng kí tại ksan này,positive
tôi có một chuyến đi thật vui cùng bạn bè,tôi có một chuyến đi thật vui cùng bạn bè,positive
khung cảnh quá nên thơ,khung cảnh quá nên thơ,positive
khách sạn bố trí phòng và đồ nội thất hợp lí,khách sạn bố trí phòng và đồ nội thất hợp lí,positive
tuy nhiên phòng nhỏ và hơi ngợp,tuy nhiên phòng nhỏ và hơi ngợp,negative
chất lượng bữa ăn sáng trên trung bình thái độ phục vụ của nhân viên tận tâm,chất lượng meals sáng trên trung bình service attitudes of conscientious employees,neutral
đáp ứng các yêu cầu nghỉ ngơi trong thời gian công tác tại hn,satisfy the requirements nghỉ ngơi trong thời gian công tác tại hn,positive
khách sạn đẹp ngay trung tâm phố cở phòng ốc tiện nghi và hiện đại nhân viên phục vụ chu đáo,beautiful hotel ngay trung tâm phố cở phòng ốc tiện nghi và hiện đại service personnel chu đáo,positive
chúng tôi sẽ quay trở lại vào lần tới,chúng tôi sẽ comeback vào lần tới,neutral
và sẽ giới thiệu bạn bè đến đây,and will introduce bạn bè đến đây,neutral
khách sạn nằm gần khu trung tâm rất tiện lợi khi dạo và ngắm cảnh,hotel located gần khu trung tâm rất tiện lợi khi dạo và ngắm cảnh,positive
phòng ốc sạch đẹp và trang bị đầy đủ những thiết bị cần thiết cho khách du lịch như computer và bàn là quần áo,phòng ốc sạch đẹp và trang bị đầy đủ những thiết bị cần thiết for guests du lịch như computer và bàn là quần áo,positive
sẽ đến khách sạn vào lần sau khi đến hà nội,sẽ đến khách sạn vào next time when go to hà nội,neutral
vị trí tốt phục vụ thái độ tốt vs sạch sẽ,good position phục vụ thái độ tốt vs sạch sẽ,positive
gần trung tâm tp nên tiện việc đi lại,gần central tp nên tiện việc đi lại,positive
nếu phòng lớn hơn một chút sẽ tốt hơn,nếu room lớn hơn a little bit sẽ tốt hơn,positive
khách sạn mới xây dựng thiết bị trong phòng tốt nhân viên niềm nở nhiệt tình,newly built hotels dựng thiết bị trong phòng tốt nhân viên niềm nở nhiệt tình,positive
vị trí khách sản rất thuận lợi cho việc đi lại trong khu vực trung tâm thành phố có nhiều cửa hàng ăn tối khá ngon mang đậm chất hà nội,vị trí khách sản rất thuận lợi cho việc đi lại trong central area thành phố có nhiều diner shop khá ngon mang đậm chất hà nội,positive
giá phòng khá hợp lý phù hợp cho các chuyến đi ngắn ngày,room price khá hợp lý phù hợp cho các chuyến đi ngắn ngày,positive
dịch vụ cung cấp tốt đồ ăn phong phú ngon,service provided tốt đồ ăn phong phú ngon,positive
bar hoàn hảo,bar perfect,positive
một đêm tuyệt vời tôi sẽ còn tới đây vào nhửng dịp khác,một đêm wonderful tôi sẽ còn return vào nhửng dịp khác,positive
2 tháng vừa qua gia đình tôi có dịp vào sài gòn liên tục gia đình tôi đã nghỉ 3 khachs sạn nhưng điểm mà cả gia đình tôi thích nhất là khách sạn caravelle,"2 tháng vừa qua my family có dịp vào sài gòn liên tục my family đã nghỉ 3 khachs sạn nhưng điểm mà cả my family likes. most importantly, khách sạn caravelle",positive
ở đây rất trung tâm nhân viên thân thiện chỉ có mỗi phòng toa let thì hơi bí ko được thóang còn phuc vụ thì nhiệt tình,ở đây rất trung tâm nhân viên friendly only có mỗi phòng toa let thì hơi bí ko được thóang còn phuc vụ thì nhiệt tình,neutral
